generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
81000,L_virgatum,A_pubescens,0,0.152289,0.0294581,0.191089,0
82000,L_virgatum,A_pubescens,0,0.177527,0.0256586,0.228365,0
83000,L_virgatum,A_pubescens,0,0.17039,0.0090694,0.168185,0
84000,L_virgatum,A_pubescens,0,0.0850137,0.128135,0.114633,0
85000,L_virgatum,A_pubescens,0,0.10652,0.0351856,0.1194,0
86000,L_virgatum,A_pubescens,0,0.107099,0.0470453,0.1409,0
87000,L_virgatum,A_pubescens,0,0.165021,0.00751433,0.177978,0
88000,L_virgatum,A_pubescens,0,0.19417,0.00317356,0.163883,0
89000,L_virgatum,A_pubescens,0,0.12944,0.0522205,0.139097,0
89000,Re_indica,NA,54.7874,0.0475677,-0.0392629,1.0052,0
90000,L_virgatum,A_pubescens,0,0.0887223,0.122971,0.121901,0
91000,L_virgatum,A_pubescens,0,0.123518,0.0526148,0.183589,0
92000,L_virgatum,A_pubescens,0,0.0960513,0.0925531,0.122205,0
93000,L_virgatum,A_pubescens,0,0.124333,0.0125586,0.0728984,0
94000,L_virgatum,A_pubescens,0,0.11138,0.0744593,0.153808,0
95000,L_virgatum,A_pubescens,0,0.102017,0.0271813,0.0792886,0
96000,L_virgatum,A_pubescens,0,0.104413,0.0751457,0.132717,0
97000,L_virgatum,A_pubescens,0,0.128517,0.0868456,0.173078,0
98000,L_virgatum,A_pubescens,0,0.107657,0.0450076,0.12336,0
99000,L_virgatum,A_pubescens,0,0.103154,0.036203,0.0818768,0
99000,C_selaginoides,L_kingii,39.9171,0.733052,-0.0830829,0.274488,0
100000,L_virgatum,A_pubescens,0,0.128368,0.0188234,0.0854971,0
101000,L_virgatum,A_pubescens,0,0.134895,0.0676491,0.201952,0
102000,L_virgatum,A_pubescens,0,0.0902004,0.0599458,0.0807351,0
103000,L_virgatum,A_pubescens,0,0.140537,0.0593154,0.191319,0
104000,L_virgatum,A_pubescens,0,0.130113,0.142605,0.211006,0
105000,L_virgatum,A_pubescens,0,0.15732,0.0863389,0.240567,0
