generation,N_shifts,logPrior,logLik,eventRate,acceptRate
126000,0,-0.14861,-336.136,0.864112,0.162
127000,0,0.0100565,-334.517,0.833503,0.21795
128000,0,0.325086,-336.665,0.52013,0.209667
129000,0,0.612575,-333.938,0.184045,0.2195
130000,1,0.238624,-333.989,0.458448,0.371
131000,0,0.178333,-334.234,0.52881,0.214
132000,0,-0.330914,-334.525,0.547189,0.221
133000,0,0.333921,-333.959,0.415372,0.231
134000,0,0.315105,-335.153,0.510745,0.229333
135000,0,0.00225827,-334.091,0.35607,0.239
136000,0,0.27213,-333.841,0.0293738,0.235
137000,0,0.670543,-334.008,0.0334871,0.218
138000,0,-0.346938,-334.405,0.192984,0.2256
139000,0,0.16203,-334.568,0.536777,0.229857
140000,0,0.0107594,-334.522,0.809682,0.224
141000,0,0.0216398,-334.953,0.784102,0.186
142000,0,0.435755,-335.51,0.189,0.192
143000,0,0.238083,-333.852,0.15911,0.21525
144000,0,0.487485,-336.591,0.277408,0.259
145000,0,-0.812,-335.013,0.0728665,0.243
146000,0,0.187541,-335.181,0.445225,0.2275
147000,0,0.489769,-334.432,0.418048,0.223
148000,0,-0.0218021,-334.258,0.628008,0.231
149000,0,-0.523764,-335.153,0.356851,0.197
150000,1,-0.484975,-333.162,0.379072,0.220917
151000,0,-0.206939,-334.869,0.540065,0.2895
152000,0,-0.13754,-335.114,0.477824,0.252143
153000,0,0.350828,-336.465,0.468497,0.224
154000,1,-0.622411,-335.549,0.0521177,0.241071
155000,0,0.398363,-337.662,0.397135,0.217
156000,0,0.420557,-334.163,0.37168,0.268
157000,0,0.658115,-334.621,0.210207,0.2275
158000,0,0.246647,-333.935,0.105725,0.209
159000,0,-0.063923,-333.98,0.212923,0.233
160000,0,-0.326033,-334.147,0.207342,0.199
161000,0,0.0199503,-334.579,0.264483,0.2295
162000,0,-0.340677,-333.785,1.07626,0.225
163000,0,-0.405725,-334.759,0.669624,0.226
164000,0,-0.87471,-334.477,0.540252,0.2725
165000,0,0.408521,-334.68,0.304583,0.222714
166000,0,0.173923,-333.739,0.655621,0.250667
167000,0,-0.381038,-334.729,1.12649,0.166
168000,0,-0.458136,-335.316,1.16476,0.234
169000,0,0.217668,-335.447,0.482217,0.201
170000,0,0.637121,-334.616,0.0836301,0.196
171000,0,-0.736743,-334.111,1.50063,0.169
172000,0,0.0362852,-334.386,0.73422,0.20975
173000,0,-0.409253,-335.398,0.722493,0.207
174000,0,-0.162974,-334.646,1.04091,0.184
175000,0,0.763699,-333.761,0.0928826,0.192
176000,0,0.579565,-335.556,0.322152,0.1806
177000,0,0.603067,-333.938,0.172769,0.209
178000,0,0.592142,-333.828,0.252292,0.211667
179000,0,0.339791,-334.541,0.477057,0.18
180000,0,0.0123817,-334.164,0.842768,0.174
181000,1,-0.840756,-337.649,0.405282,0.236125
182000,0,0.563901,-335.009,0.225371,0.272
183000,0,0.277527,-335.797,0.242019,0.198187
184000,0,0.460975,-334.128,0.323398,0.199
185000,0,0.363174,-335.634,0.177106,0.1535
186000,0,0.0996885,-335.695,0.547653,0.161
187000,0,0.597538,-334.496,0.142073,0.193
188000,0,0.334851,-335.009,0.310125,0.187
189000,0,0.741876,-334.13,0.00798203,0.213
190000,0,-0.151767,-334.956,0.891706,0.186
191000,0,0.360038,-335.936,0.105318,0.162667
192000,0,0.754532,-335.696,0.0168968,0.1905
193000,0,0.425781,-333.857,0.420812,0.176
194000,0,0.193068,-334.608,0.325652,0.2315
195000,0,-1.07371,-339.272,0.916624,0.203
196000,0,0.447727,-335.199,0.0360837,0.207
197000,0,0.213307,-335.104,0.503101,0.224375
198000,0,0.781744,-334.752,0.0709446,0.193
199000,0,0.644355,-334.315,0.196734,0.244
200000,0,0.549146,-336.117,0.384826,0.226
201000,0,0.62856,-338.367,0.137382,0.226429
202000,0,-2.05699,-334.166,1.30391,0.2
203000,0,0.610562,-334.829,0.169485,0.215952
204000,0,-0.45364,-336.788,1.16453,0.193
205000,0,0.35883,-335.267,0.478343,0.185
206000,0,0.755056,-333.757,0.0845104,0.188
207000,0,0.694768,-334.066,0.15811,0.189
208000,0,-0.69966,-335.285,1.35837,0.242
209000,0,0.871029,-334.213,0.0330691,0.224846
210000,0,0.795685,-334.173,0.0193661,0.2115
211000,0,0.398706,-335.017,0.476754,0.23
212000,0,-0.841733,-334.277,0.154778,0.235
213000,0,-0.336759,-335.52,0.0294471,0.24
214000,0,0.239041,-334.555,0.62153,0.2398
215000,0,0.806355,-335.054,0.0500991,0.202
216000,0,-1.73269,-334.905,2.52916,0.238667
217000,0,0.652134,-333.842,0.109321,0.178
218000,0,0.0935927,-334.262,0.609955,0.2227
219000,1,-2.3842,-337.277,0.919715,0.194
220000,0,-0.991616,-335.226,1.54892,0.196
221000,0,-0.0188304,-334.561,0.660159,0.16
222000,0,0.559472,-334.121,0.224796,0.194
223000,0,-0.0678852,-336.415,0.617788,0.186
224000,0,0.218765,-335.368,0.597595,0.224864
225000,0,0.216101,-334.603,0.139913,0.247
226000,0,-0.471792,-334.312,1.11452,0.204
227000,0,-0.15228,-334.172,0.533187,0.232
228000,0,-2.09986,-334.492,1.4877,0.23
229000,0,-0.339984,-334.851,0.448189,0.205
230000,0,0.620545,-334.52,0.300866,0.193
231000,0,-0.148015,-334.323,0.770132,0.185625
232000,0,-2.06202,-334.233,0.86897,0.2185
233000,0,0.795317,-334.284,0.0413616,0.227
234000,1,-0.216018,-333.446,0.807754,0.255
235000,0,0.247646,-334.128,0.571751,0.212154
236000,0,-0.264665,-333.93,0.55202,0.238
237000,0,0.54957,-334.771,0.288886,0.21355
238000,0,0.439249,-334.673,0.036232,0.222
239000,0,-0.990567,-334.956,0.602417,0.222333
240000,0,0.360616,-334.175,0.482102,0.226
241000,0,0.661139,-333.854,0.159323,0.177
242000,0,0.483668,-334.783,0.421831,0.182
243000,0,0.389936,-334.077,0.452292,0.1924
244000,0,0.52868,-334.227,0.359999,0.191
245000,0,0.649496,-333.775,0.177622,0.218333
246000,0,0.216479,-334.34,0.513077,0.196
247000,0,-0.252023,-334.496,0.928605,0.177
248000,0,0.761927,-333.854,0.0339228,0.220571
249000,0,0.051179,-333.864,0.35435,0.224294
250000,0,-0.138364,-334.355,0.329554,0.227
251000,0,0.579394,-334.977,0.120425,0.25
252000,0,-1.74114,-334.545,0.45831,0.224571
253000,0,-0.937486,-333.956,1.78892,0.187
254000,1,1.08269,-332.564,0.43717,0.238333
255000,0,0.357769,-334.079,0.375164,0.245714
256000,0,0.372466,-334.555,0.297815,0.234
257000,0,-0.611459,-336.693,0.280952,0.2315
258000,0,-0.157338,-334.012,0.931586,0.177
259000,0,-0.939321,-333.875,0.760071,0.217
260000,0,-0.550395,-334.442,1.16585,0.246
